localite_auto_ecole,candidats ETG, réussite ETG,nbr_candidats,reussite,
AUTO ECOLE DE LA GRAND PLACE 1 RUE BARA 02200 SOISSONS,184,64.13,109,53.21,
AUTO ECOLE ECOLE DE CONDUITE LEPOLARD ROND POINT PASTEUR 02200 SOISSONS,494,72.06,311,66.56,
AUTO ECOLE D - BEATRICE 17 RUE ALBERT MEUNIER 02230 FRESNOY LE GRAND,62,46.77,41,43.9,
AUTO ECOLE LEDOUX EMMANUELLE 52 RUE DU GENERAL SAINT HILAIRE 02240 RIBEMONT,80,73.75,40,50,
AUTO ECOLE CHRISTINE 60 AVENUE CHARLES DE GAULLE 02260 LA CAPELLE,169,53.85,64,62.5,
AUTO ECOLE ECOLE DE CONDUITE TH BOIVENT 115 AVENUE DU GENERAL DE GAULLE 02260 LA CAPELLE,270,68.52,146,61.64,
AUTO ECOLE CRECY 42 BIS AVENUE DU GENERAL DE GAULLE 02270 CRECY SUR SERRE,81,64.2,50,66,
AUTO ECOLE SARL CDB FORMATIONS 16 PLACE DU GENERAL DE GAULLE 02290 VIC SUR AISNE,143,69.23,100,63,
AUTO ECOLE LEMOINE 9 RUE DES FEUILLANTS 02300 BLERANCOURT,139,62.59,79,67.09,
AUTO ECOLE AMC 3 RUE DE LA POSTE 02300 CHAUNY,123,62.6,79,68.35,
AUTO ECOLE JEAN 17RUE DU GAL LECLERC 02300 CHAUNY,394,72.84,201,72.64,
AUTO ECOLE CHARLY PERMIS 36 RUE EMILE MORLOT 02310 CHARLY SUR MARNE,168,69.05,99,65.66,
AUTO ECOLE PLEINS PHARES 9 RUE JEAN JAURES 02320 ANIZY LE CHATEAU,54,72.22,29,68.97,
AUTO ECOLE BELKHIRA 7 RUE DE COUCY 02320 ANIZY LE CHATEAU,138,58.7,63,60.32,
AUTO ECOLE LIGNE DE CONDUITE 29 PLACE DE L'HOTEL DE VILLE 02340 MONTCORNET,42,76.19,16,81.25,
AUTO ECOLE DE LA SERRE 11 RUE DU CALVAIRE 02340 MONTCORNET,89,39.33,41,26.83,
AUTO ECOLE ECOLE DE CONDUITE TURLIN 9 BOULEVARD PIERRET 02370 VAILLY SUR AISNE,158,65.82,80,67.5,
AUTO ECOLE CASTEL 74 RUE SAINT MARTIN 02400 CHATEAU THIERRY,82,62.2,40,55,
AUTO ECOLE BERNARD 5 RUE DU GERBROIS 02400 CHATEAU-THIERRY,224,69.64,96,58.33,
AUTO ECOLE SOCIETE NOUVELLE AE JEAN DE LA F 76 RUE CARNOT 02400 CHATEAU-THIERRY,252,57.94,188,57.45,
AUTO ECOLE FRANCK 22 AVENUE DE SOISSONS 02400 CHATEAU-THIERRY,430,68.6,229,61.14,
AUTO ECOLE ECB OLIVIER MARTIN 35 RUE DE PICARDIE 02420 BELLICOURT,95,63.16,56,55.36,
AUTO ECOLE FRANCOISE 7 RUE DE LA GARE 02450 BOUE,95,76.84,58,62.07,
AUTO ECOLE DU CHATEAU 11 UE DU CHATEAU 02470 NEUILLY SAINT FRONT,122,61.48,99,54.55,
AUTO ECOLE DU VERMANDOIS ZAE LE CHAMP DES LAVOIRS 02490 VERMAND,50,60,39,79.49,
AUTO ECOLE AUTO MOTO ECOLE 3 RIVIERES 14 PLACE VILLEMANT 02500 HIRSON,91,53.85,43,60.47,
AUTO ECOLE AUTO MOTO ECOLE DOMINIQUE 2 AVENUE FRANCOIS MITTERAND 02500 HIRSON,150,64,79,67.09,
AUTO ECOLE HIRSONNAISE 138 RUE CHARLES DE GAULLE 02500 HIRSON,393,66.92,201,65.17,
AUTO ECOLE CER ALEXANDRE DUMAS 83 RUE DU GENERAL LECLERC 02600 VILLERS COTTERETS,238,68.07,141,58.87,
AUTO ECOLE COD AISNOISE 4 BIS RUE DU DR MARECHAL 02630 WASSIGNY,87,70.11,41,60.98,
AUTO ECOLE DU SURMELIN 14 BIS AVENUE DE PARIS 02650 CREZANCY,135,57.78,82,78.05,
AUTO ECOLE ROSSIGNOL 24 RUE PIERRE SEMARD 02700 TERGNIER,315,71.43,162,60.49,
AUTO ECOLE SARL GOLOTVINE 12 BOULEVARD GUSTAVE GREGOIRE 02700 TERGNIER,558,64.87,280,55,
AUTO ECOLE CER DU BOURGET 29 RUE DU BOURGET 02800 LA FERE,138,53.62,59,67.8,
AUTO ECOLE SAINT ERME 4 RUE DES TORTUES ROUGES 02820 SAINT ERME,103,66.02,53,77.36,
AUTO ECOLE DU LYCEE CHATEAUDUN 33 RUE DE VARIZE 02820 CHATEAUDUN,370,66.76,187,68.45,
AUTO ECOLE PATRICK 50 BIS PLACE RECHEFORT 02830 SAINT MICHEL,86,46.51,58,74.14,
AUTO ECOLE ATHIES 2 BIS RUE DE LAON 02840 ATHIES SOUS LAON,63,66.67,40,70,
AUTO ECOLE LA MADELEINE 15 AVENUE DE LA LIBERATION 03000 MOULINS,39,53.85,10,70,
AUTO ECOLE EDEN CONDUITE 24 RUE DU 4 SEPTEMBRE 03000 MOULINS,25,72,16,62.5,
AUTO ECOLE SARL ECOLE DE CONDUITE MOULINSE 69 RUE DE LYON 03000 MOULINS,134,57.46,51,50.98,
AUTO ECOLE SARL CENTRE DE FORMATION LAVRIL ECOLE DE CONDUITE LAVRIL 8 COURS DE BERCY 03000 MOULINS,193,62.18,92,56.52,
"AUTO ECOLE SARL ECOLE DE CONDUITE VOLTAIRE 14, RUE VOLTAIRE 03000 MOULINS",221,78.73,153,67.32,
"AUTO ECOLE MOU BOURBONAISE 16,RUE DES MINIMES 03000 MOULINS",289,66.44,182,64.29,
AUTO ECOLE MOU GARIBALDI LES BATELIERS RUE DES ANCIENS COMBATTANTS AFN 03000 MOULINS,453,69.09,197,65.99,
AUTO ECOLE MLT TERRADE 16 PLACE BAVAY 03100 MONTLUCON,40,52.5,15,73.33,
"AUTO ECOLE ECOLE DE CONDUITE DES FORGES 4, RUE DES FORGES 03100 MONTLUCON",62,56.45,27,48.15,
AUTO ECOLE ECOLE DE CONDUITE GUY MAZOIS 51 AVENUE ALBERT THOMAS 03100 MONTLUCON,64,75,33,75.76,
AUTO ECOLE ECOLE DE CONDUITE ERIC CRESCENT 13 RUE RAQUIN 03100 MONTLUCON,89,64.04,51,50.98,
AUTO ECOLE LA PRESLE 6 RUE DE LA PRESLE 03100 MONTLUCON,79,68.35,53,52.83,
AUTO ECOLE ECF DESAMAIS DUFOUR 37 AVENUE J F KENNEDY 03100 MONTLUCON,94,60.64,59,77.97,
AUTO ECOLE FRANCE CONDUITE 104 BIS BOULEVARD DE COURTAIS 03100 MONTLUCON,91,53.85,67,62.69,
AUTO ECOLE ECOLE DE CONDUITE LETEVE 28 AVENUE JULES GUESDE 03100 MONTLUCON,146,69.86,104,71.15,
AUTO ECOLE MLT DESMARAIS AUTO ECOLE 03 RUE JULES GUESDE 03100 MONTLUCON,197,67.01,126,48.41,
"AUTO ECOLE MLT EC DESCHAMPS SARL 3, RUE ARAGO 03100 MONTLUCON",257,65.76,147,60.54,
AUTO ECOLE DES MOTARDS ROBERT CHRISTOPHE 1 RUE DU DIENAT 03100 MONTLUCON,290,63.1,169,62.72,
"AUTO ECOLE LAP PEJOUX GILLES 5, AVENUE CHARLES DE GAULLE 03120 LAPALISSE",131,61.07,80,83.75,
AUTO ECOLE 03 3 RUE DE VOUROUX 03150 VARENNES SUR ALLIER,133,51.13,64,67.19,
AUTO ECOLE BURANDE 15 RUE DU COMMERCE 03150 SAINT GERAND LE PUY,154,63.64,88,73.86,
AUTO ECOLE CER LECOMTE 3 BLD DES MOUILLIERES 03160 BOURBON L ARCHAMBAULT,20,65,14,71.43,
AUTO ECOLE CER VALLET RUE DES ORFEVRES 03160 BOURBON L ARCHAMBAULT,89,69.66,60,66.67,
AUTO ECOLE DE VALLON 22 RUE PAUL CONSTANS 03190 VALLON EN SULLY,33,51.52,22,77.27,
AUTO ECOLE ECOLE DE CONDUITE DES AILES CENTRE COMMERCIAL DES AILES ALLEE DES AILES 03200 VICHY,56,33.93,15,33.33,
AUTO ECOLE MOTOR S 39 AVENUE DE GRAMONT 03200 VICHY,83,50.6,17,76.47,
AUTO ECOLE C'PERMIS 54 AVENUE PAUL DOUMER 03200 VICHY,60,66.67,25,72,
AUTO ECOLE VIC INTER CONDUITE 22 RUE DE PARIS 03200 VICHY,272,59.19,92,59.78,
AUTO ECOLE E.C. DU LYCEE 77 AVENUE DE GRAMONT 03200 VICHY,169,59.76,98,64.29,
AUTO ECOLE AUTO-MOTO-ECOLE CAMPET 9 AVENUE PAUL DOUMER 03200 VICHY,247,80.57,167,67.07,
AUTO ECOLE ECOLE DE CONDUITE LUSIGNOISE 76 AVENUE DE LA RENOVATION 03230 LUSIGNY,46,71.74,15,46.67,
"AUTO ECOLE VIC MONTLHERY 29, RUE PIERRE SEMARD 03260 SAINT GERMAIN DES FOSSES",65,64.62,38,71.05,
AUTO ECOLE VIC LEBON THIERRY 34 RUE GAMBETTA 03270 SAINT-YORRE,120,63.33,57,59.65,
AUTO ECOLE MOU SOULIER GISELE 149 RUE NATIONALE 03290 DOMPIERRE SUR BESBRE,21,52.38,11,54.55,
AUTO ECOLE DOM GARE SARL 140 PLACE DE VERDUN 03290 DOMPIERRE SUR BESBRE,66,50,29,58.62,
AUTO ECOLE DE PRESLES 4 RUE DE PICARDIE 03300 CUSSET,59,50.85,26,65.38,
"AUTO ECOLE VIC DUPRE JACQUES 23, COURS LAFAYETTE 03300 CUSSET",209,78.47,146,73.29,
AUTO ECOLE VIC INTER CONDUITE 9 RUE ROCHER FAVYE 03300 CUSSET,280,58.93,151,68.21,
AUTO ECOLE ECOLE DE CONDUITE ERIC CRESCENT 3 RUE VOLTAIRE 03310 NERIS LES BAINS,70,65.71,57,50.88,
"AUTO ECOLE CER MARC 3, RUE A. DAUMIN 03320 LURCY LEVIS",74,43.24,45,73.33,
AUTO ECOLE PLANET'CONDUITE MONTMARAULT 1 RUE GAMBETTA 03390 MONTMARAULT,52,65.38,37,56.76,
AUTO ECOLE PASSION CONDUITE 3 RUE DE BELLECROIX 03400 YZEURE,237,78.9,126,68.25,
